week,matchup_id,manager,player,pos,points,started
1,3,jezz281,Rashee Rice,WR,7.9,FALSE
1,3,jezz281,Omarion Hampton,RB,11.3,TRUE
1,3,jezz281,Jacory Croskey-Merritt,RB,16.1,FALSE
1,3,jezz281,Kyle Monangai,RB,20.15,FALSE
1,3,jezz281,Jared Goff,QB,18.44,TRUE
1,3,jezz281,Wil Lutz,K,4.1,TRUE
1,3,jezz281,A.J. Brown,WR,4.6,TRUE
1,3,jezz281,Tony Pollard,RB,4.15,FALSE
1,3,jezz281,J.K. Dobbins,RB,4.35,FALSE
1,3,jezz281,Travis Etienne,RB,11.3,TRUE
1,3,jezz281,Rhamondre Stevenson,RB,12,FALSE
1,3,jezz281,Trey McBride,TE,20.5,TRUE
1,3,jezz281,George Pickens,WR,4.8,TRUE
1,3,jezz281,Brock Purdy,QB,27.1,TRUE
1,3,jezz281,Chase Brown,RB,16.05,TRUE
1,3,jezz281,Quentin Johnston,WR,1.7,FALSE
1,3,jezz281,JAX D/ST,DEF,14,TRUE
1,1,DrBongstrong,Jayden Reed,WR,3,FALSE
1,1,DrBongstrong,Michael Wilson,WR,8.6,FALSE
1,1,DrBongstrong,Bhayshul Tuten,RB,12.8,TRUE
1,1,DrBongstrong,Chris Boswell,K,9.3,TRUE
1,1,DrBongstrong,Derrick Henry,RB,38.3,TRUE
1,1,DrBongstrong,Alvin Kamara,RB,0,FALSE
1,1,DrBongstrong,Matthew Stafford,QB,4.1,TRUE
1,1,DrBongstrong,Sam Darnold,QB,0.52,TRUE
1,1,DrBongstrong,Jakobi Meyers,WR,11.95,FALSE
1,1,DrBongstrong,Justin Jefferson,WR,26.2,TRUE
1,1,DrBongstrong,Amon-Ra St. Brown,WR,20.7,TRUE
1,1,DrBongstrong,Kyle Pitts,TE,0,TRUE
1,1,DrBongstrong,Kenny Gainwell,RB,2.55,FALSE
1,1,DrBongstrong,Isaiah Likely,TE,23.8,FALSE
1,1,DrBongstrong,Christian Watson,WR,29.7,TRUE
1,1,DrBongstrong,Isiah Pacheco,RB,0,FALSE
1,1,DrBongstrong,PIT D/ST,DEF,18.5,TRUE
1,2,themikemartin,Jake Bates,K,7,TRUE
1,2,themikemartin,Jayden Daniels,QB,20.41,TRUE
1,2,themikemartin,MarShawn Lloyd,RB,5.2,TRUE
1,2,themikemartin,Xavier Worthy,WR,2.8,FALSE
1,2,themikemartin,DJ Giddens,RB,0,FALSE
1,2,themikemartin,Kaelon Black,RB,9.25,FALSE
1,2,themikemartin,Geno Smith,QB,9.3,FALSE
1,2,themikemartin,Travis Kelce,TE,9.1,TRUE
1,2,themikemartin,Stefon Diggs,WR,14.5,FALSE
1,2,themikemartin,Christian McCaffrey,RB,10.3,TRUE
1,2,themikemartin,Courtland Sutton,WR,1.1,TRUE
1,2,themikemartin,Deebo Samuel,WR,14.75,FALSE
1,2,themikemartin,Jonathan Taylor,RB,25.85,TRUE
1,2,themikemartin,Bryce Young,QB,34.44,TRUE
1,2,themikemartin,Jaxon Smith-Njigba,WR,22.2,TRUE
1,2,themikemartin,DET D/ST,DEF,15,TRUE
1,4,theNastyJK,Jonathon Brooks,RB,7.2,FALSE
1,4,theNastyJK,Brock Bowers,TE,0,FALSE
1,4,theNastyJK,Rome Odunze,WR,6.2,FALSE
1,4,theNastyJK,Malik Nabers,WR,9.9,TRUE
1,4,theNastyJK,Quinshon Judkins,RB,6.75,FALSE
1,4,theNastyJK,Luther Burden,WR,6.5,TRUE
1,4,theNastyJK,Tetairoa McMillan,WR,9.5,TRUE
1,4,theNastyJK,Tyler Shough,QB,26.95,TRUE
1,4,theNastyJK,Jadarian Price,RB,8.8,FALSE
1,4,theNastyJK,Dallas Goedert,TE,20.7,TRUE
1,4,theNastyJK,Daniel Jones,QB,10.79,FALSE
1,4,theNastyJK,Evan McPherson,K,20.5,TRUE
1,4,theNastyJK,Jameson Williams,WR,6.5,FALSE
1,4,theNastyJK,Malik Willis,QB,17.45,TRUE
1,4,theNastyJK,Jahmyr Gibbs,RB,38.6,TRUE
1,4,theNastyJK,De'Von Achane,RB,9.1,TRUE
1,4,theNastyJK,Zach Charbonnet,RB,0,FALSE
1,4,theNastyJK,LAR D/ST,DEF,3,TRUE
1,2,JLstorm1,Marvin Harrison,WR,4.3,FALSE
1,2,JLstorm1,Brian Thomas,WR,7,FALSE
1,2,JLstorm1,Cam Little,K,12.7,TRUE
1,2,JLstorm1,Carnell Tate,WR,4.8,FALSE
1,2,JLstorm1,Lamar Jackson,QB,27.46,TRUE
1,2,JLstorm1,D'Andre Swift,RB,33.9,TRUE
1,2,JLstorm1,Justin Herbert,QB,15.01,TRUE
1,2,JLstorm1,Rico Dowdle,RB,2.1,FALSE
1,2,JLstorm1,Jaylen Waddle,WR,0.2,TRUE
1,2,JLstorm1,Ja'Marr Chase,WR,2.2,TRUE
1,2,JLstorm1,Alec Pierce,WR,10.1,FALSE
1,2,JLstorm1,Breece Hall,RB,22.3,TRUE
1,2,JLstorm1,Jordan Mason,RB,12.65,FALSE
1,2,JLstorm1,Tucker Kraft,TE,9.5,TRUE
1,2,JLstorm1,Jordan Addison,WR,0,TRUE
1,2,JLstorm1,BAL D/ST,DEF,11.5,TRUE
1,1,Rowdy17,Sam LaPorta,TE,6.8,TRUE
1,1,Rowdy17,Caleb Williams,QB,40.76,TRUE
1,1,Rowdy17,Bucky Irving,RB,16.8,FALSE
1,1,Rowdy17,Blake Corum,RB,6.9,FALSE
