week,matchup_id,manager,player,pos,points,started
1,1,Rowdy17,Ka'imi Fairbairn,K,9.8,TRUE
1,1,Rowdy17,James Conner,RB,0,FALSE
1,1,Rowdy17,Saquon Barkley,RB,9.5,TRUE
1,1,Rowdy17,Tee Higgins,WR,8.9,TRUE
1,1,Rowdy17,Trevor Lawrence,QB,30.85,TRUE
1,1,Rowdy17,Nico Collins,WR,16.95,TRUE
1,1,Rowdy17,Javonte Williams,RB,20.95,TRUE
1,1,Rowdy17,Chris Olave,WR,25.2,TRUE
1,1,Rowdy17,Parker Washington,WR,17.3,FALSE
1,1,Rowdy17,Josh Downs,WR,5.7,FALSE
1,1,Rowdy17,C.J. Stroud,QB,19.21,FALSE
1,1,Rowdy17,HOU D/ST,DEF,2,TRUE
1,4,dm98,Chris Rodriguez,RB,3.05,FALSE
1,4,dm98,Harrison Mevis,K,1,TRUE
1,4,dm98,Cam Skattebo,RB,17.85,TRUE
1,4,dm98,Matthew Golden,WR,13.5,FALSE
1,4,dm98,Harold Fannin,TE,3.1,TRUE
1,4,dm98,Jaxson Dart,QB,32.6,TRUE
1,4,dm98,Emeka Egbuka,WR,9.3,TRUE
1,4,dm98,Jeremiyah Love,RB,11.75,FALSE
1,4,dm98,Dak Prescott,QB,17.15,TRUE
1,4,dm98,George Kittle,TE,1.2,FALSE
1,4,dm98,CeeDee Lamb,WR,14.4,TRUE
1,4,dm98,Jordan Love,QB,21.48,FALSE
1,4,dm98,James Cook,RB,11.15,TRUE
1,4,dm98,Garrett Wilson,WR,10.9,TRUE
1,4,dm98,Tyjae Spears,RB,3.15,FALSE
1,4,dm98,DEN D/ST,DEF,7,TRUE
1,3,LeJohnBrains,Brandon Aubrey,K,2,TRUE
1,3,LeJohnBrains,Adonai Mitchell,WR,8,FALSE
1,3,LeJohnBrains,Woody Marks,RB,7,FALSE
1,3,LeJohnBrains,RJ Harvey,RB,4.85,TRUE
1,3,LeJohnBrains,Colston Loveland,TE,0,TRUE
1,3,LeJohnBrains,TreVeyon Henderson,RB,0,FALSE
1,3,LeJohnBrains,Makai Lemon,WR,-0.5,FALSE
1,3,LeJohnBrains,Mike Evans,WR,15.9,TRUE
1,3,LeJohnBrains,Baker Mayfield,QB,11.64,FALSE
1,3,LeJohnBrains,DJ Moore,WR,19,TRUE
1,3,LeJohnBrains,Kyler Murray,QB,-0.38,FALSE
1,3,LeJohnBrains,Joe Burrow,QB,13.16,TRUE
1,3,LeJohnBrains,Jalen Hurts,QB,29.22,TRUE
1,3,LeJohnBrains,DeVonta Smith,WR,6.3,TRUE
1,3,LeJohnBrains,Bijan Robinson,RB,29.55,TRUE
1,3,LeJohnBrains,PHI D/ST,DEF,5.5,TRUE
1,5,Wenzo3030,Drake Maye,QB,14.57,TRUE
1,5,Wenzo3030,Tyler Warren,TE,7.3,TRUE
1,5,Wenzo3030,Cam Ward,QB,14.2,FALSE
1,5,Wenzo3030,KC Concepcion,WR,6.55,FALSE
1,5,Wenzo3030,Davante Adams,WR,3.6,TRUE
1,5,Wenzo3030,Chris Godwin,WR,6.3,FALSE
1,5,Wenzo3030,Josh Allen,QB,37.66,TRUE
1,5,Wenzo3030,Mark Andrews,TE,6.9,FALSE
1,5,Wenzo3030,DK Metcalf,WR,6,FALSE
1,5,Wenzo3030,Chuba Hubbard,RB,22.45,FALSE
1,5,Wenzo3030,Drake London,WR,4.5,TRUE
1,5,Wenzo3030,Kyren Williams,RB,15,TRUE
1,5,Wenzo3030,Kenneth Walker,RB,37.35,TRUE
1,5,Wenzo3030,Cameron Dicker,K,2,TRUE
1,5,Wenzo3030,Zay Flowers,WR,25,TRUE
1,5,Wenzo3030,NE D/ST,DEF,3.5,TRUE
1,5,Elasticschnit,Dalton Kincaid,TE,17,TRUE
1,5,Elasticschnit,Bo Nix,QB,6.44,TRUE
1,5,Elasticschnit,Ladd McConkey,WR,18.2,TRUE
1,5,Elasticschnit,Jalen Coker,WR,29.8,FALSE
1,5,Elasticschnit,Kirk Cousins,QB,16.8,FALSE
1,5,Elasticschnit,Ashton Jeanty,RB,31.95,TRUE
1,5,Elasticschnit,Jordyn Tyson,WR,0,FALSE
1,5,Elasticschnit,Jason Myers,K,7,TRUE
1,5,Elasticschnit,Patrick Mahomes,QB,24.41,TRUE
1,5,Elasticschnit,Josh Jacobs,RB,0,FALSE
1,5,Elasticschnit,David Montgomery,RB,27.4,TRUE
1,5,Elasticschnit,Terry McLaurin,WR,2.4,FALSE
1,5,Elasticschnit,Brian Robinson,RB,4.6,FALSE
1,5,Elasticschnit,Jaylen Warren,RB,8.55,TRUE
1,5,Elasticschnit,Puka Nacua,WR,9.4,TRUE
1,5,Elasticschnit,SEA D/ST,DEF,14,TRUE
