week,matchup_id,manager,player,pos,points,started
2,1,Rowdy17,Sam LaPorta,TE,14.2,TRUE
2,1,Rowdy17,Caleb Williams,QB,9.97,TRUE
2,1,Rowdy17,Bucky Irving,RB,11.25,TRUE
2,1,Rowdy17,Blake Corum,RB,13.95,FALSE
2,1,Rowdy17,Ka'imi Fairbairn,K,8.2,TRUE
2,1,Rowdy17,James Conner,RB,0,FALSE
2,1,Rowdy17,Saquon Barkley,RB,3,TRUE
2,1,Rowdy17,Dalton Schultz,TE,20,FALSE
2,1,Rowdy17,Tee Higgins,WR,14.5,TRUE
2,1,Rowdy17,Trevor Lawrence,QB,6.91,TRUE
2,1,Rowdy17,Nico Collins,WR,0,FALSE
2,1,Rowdy17,Javonte Williams,RB,5,TRUE
2,1,Rowdy17,Chris Olave,WR,19.6,TRUE
2,1,Rowdy17,Parker Washington,WR,12.8,FALSE
2,1,Rowdy17,Josh Downs,WR,13.2,FALSE
2,1,Rowdy17,C.J. Stroud,QB,17.77,FALSE
2,1,Rowdy17,HOU D/ST,DEF,10.5,TRUE
2,3,dm98,Chris Rodriguez,RB,2.8,FALSE
2,3,dm98,Jayden Daniels,QB,19.49,TRUE
2,3,dm98,Harrison Mevis,K,4,TRUE
2,3,dm98,Cam Skattebo,RB,7.25,TRUE
2,3,dm98,Matthew Golden,WR,9.8,FALSE
2,3,dm98,Harold Fannin,TE,8.4,FALSE
2,3,dm98,Jaxson Dart,QB,0.8,FALSE
2,3,dm98,Emeka Egbuka,WR,7.3,TRUE
2,3,dm98,Jeremiyah Love,RB,5.25,TRUE
2,3,dm98,Caleb Douglas,WR,3.9,FALSE
2,3,dm98,Emmett Johnson,RB,5.25,FALSE
2,3,dm98,Dak Prescott,QB,35.26,TRUE
2,3,dm98,George Kittle,TE,16,TRUE
2,3,dm98,CeeDee Lamb,WR,32.3,TRUE
2,3,dm98,James Cook,RB,24.4,TRUE
2,3,dm98,DEN D/ST,DEF,7,TRUE
2,4,LeJohnBrains,Brandon Aubrey,K,17.4,TRUE
2,4,LeJohnBrains,Adonai Mitchell,WR,11.3,FALSE
2,4,LeJohnBrains,Woody Marks,RB,5.25,FALSE
2,4,LeJohnBrains,RJ Harvey,RB,0,FALSE
2,4,LeJohnBrains,Colston Loveland,TE,0.3,TRUE
2,4,LeJohnBrains,TreVeyon Henderson,RB,15.1,TRUE
2,4,LeJohnBrains,Malachi Fields,WR,5,FALSE
2,4,LeJohnBrains,Makai Lemon,WR,1.9,FALSE
2,4,LeJohnBrains,Mike Evans,WR,8.4,TRUE
2,4,LeJohnBrains,Baker Mayfield,QB,15.43,FALSE
2,4,LeJohnBrains,DJ Moore,WR,-0.1,TRUE
2,4,LeJohnBrains,Joe Burrow,QB,18.18,TRUE
2,4,LeJohnBrains,Jalen Hurts,QB,19.66,TRUE
2,4,LeJohnBrains,DeVonta Smith,WR,23.7,TRUE
2,4,LeJohnBrains,Bijan Robinson,RB,9.6,TRUE
2,4,LeJohnBrains,PHI D/ST,DEF,6,TRUE
2,5,Wenzo3030,Drake Maye,QB,8.77,TRUE
2,5,Wenzo3030,Tyler Warren,TE,9.15,FALSE
2,5,Wenzo3030,Cam Ward,QB,20.77,FALSE
2,5,Wenzo3030,KC Concepcion,WR,3.2,FALSE
2,5,Wenzo3030,Davante Adams,WR,36.5,TRUE
2,5,Wenzo3030,Chris Godwin,WR,9.55,FALSE
2,5,Wenzo3030,Josh Allen,QB,48.32,TRUE
2,5,Wenzo3030,Mark Andrews,TE,8.9,TRUE
2,5,Wenzo3030,DK Metcalf,WR,3.7,FALSE
2,5,Wenzo3030,Chuba Hubbard,RB,15.4,TRUE
2,5,Wenzo3030,Drake London,WR,8.9,TRUE
2,5,Wenzo3030,Kyren Williams,RB,15.95,TRUE
2,5,Wenzo3030,Kenneth Walker,RB,25.05,TRUE
2,5,Wenzo3030,Cameron Dicker,K,2,TRUE
2,5,Wenzo3030,Zay Flowers,WR,0,FALSE
2,5,Wenzo3030,NE D/ST,DEF,19.5,TRUE
2,4,Elasticschnit,Dalton Kincaid,TE,19.5,TRUE
2,4,Elasticschnit,Bo Nix,QB,16.62,TRUE
2,4,Elasticschnit,Ladd McConkey,WR,5.5,FALSE
2,4,Elasticschnit,Jalen Coker,WR,9.6,FALSE
2,4,Elasticschnit,Kirk Cousins,QB,23.22,FALSE
2,4,Elasticschnit,Ashton Jeanty,RB,7.05,TRUE
2,4,Elasticschnit,Jordyn Tyson,WR,0,FALSE
2,4,Elasticschnit,Jason Myers,K,7.3,TRUE
2,4,Elasticschnit,Patrick Mahomes,QB,32.73,TRUE
2,4,Elasticschnit,Josh Jacobs,RB,0,FALSE
2,4,Elasticschnit,David Montgomery,RB,2.4,TRUE
2,4,Elasticschnit,Terry McLaurin,WR,7,TRUE
2,4,Elasticschnit,Brian Robinson,RB,9.2,FALSE
2,4,Elasticschnit,Jaylen Warren,RB,9.45,TRUE
2,4,Elasticschnit,Puka Nacua,WR,0,TRUE
2,4,Elasticschnit,SEA D/ST,DEF,8.5,TRUE
