week,matchup_id,manager,player,pos,points,started
2,2,jezz281,Rashee Rice,WR,11.3,TRUE
2,2,jezz281,Devaughn Vele,WR,9.4,FALSE
2,2,jezz281,Omarion Hampton,RB,20.25,TRUE
2,2,jezz281,Jacory Croskey-Merritt,RB,4.8,FALSE
2,2,jezz281,Kyle Monangai,RB,8.05,FALSE
2,2,jezz281,Jared Goff,QB,33.78,TRUE
2,2,jezz281,A.J. Brown,WR,0,FALSE
2,2,jezz281,Chase McLaughlin,K,17.6,TRUE
2,2,jezz281,J.K. Dobbins,RB,4.35,FALSE
2,2,jezz281,Travis Etienne,RB,5.85,TRUE
2,2,jezz281,Rhamondre Stevenson,RB,4.85,FALSE
2,2,jezz281,Trey McBride,TE,12.1,TRUE
2,2,jezz281,George Pickens,WR,8,TRUE
2,2,jezz281,Brock Purdy,QB,31.98,TRUE
2,2,jezz281,Chase Brown,RB,10.45,TRUE
2,2,jezz281,Quentin Johnston,WR,2.4,FALSE
2,2,jezz281,SF D/ST,DEF,8.5,TRUE
2,2,DrBongstrong,Michael Wilson,WR,2.8,FALSE
2,2,DrBongstrong,Bhayshul Tuten,RB,14.45,FALSE
2,2,DrBongstrong,Chris Boswell,K,5.6,TRUE
2,2,DrBongstrong,Derrick Henry,RB,18.7,TRUE
2,2,DrBongstrong,Alvin Kamara,RB,2.95,FALSE
2,2,DrBongstrong,Aaron Jones,RB,12.75,TRUE
2,2,DrBongstrong,Matthew Stafford,QB,30.98,TRUE
2,2,DrBongstrong,Sam Darnold,QB,0,FALSE
2,2,DrBongstrong,Kyler Murray,QB,0,FALSE
2,2,DrBongstrong,Justin Jefferson,WR,7.5,TRUE
2,2,DrBongstrong,Amon-Ra St. Brown,WR,31.2,TRUE
2,2,DrBongstrong,Kyle Pitts,TE,2.5,TRUE
2,2,DrBongstrong,Kenny Gainwell,RB,3,FALSE
2,2,DrBongstrong,Isaiah Likely,TE,6.3,TRUE
2,2,DrBongstrong,Christian Watson,WR,11.1,TRUE
2,2,DrBongstrong,Isiah Pacheco,RB,0,FALSE
2,2,DrBongstrong,PIT D/ST,DEF,12,TRUE
2,3,themikemartin,Jake Bates,K,7.1,TRUE
2,3,themikemartin,MarShawn Lloyd,RB,7.35,TRUE
2,3,themikemartin,Xavier Worthy,WR,9.5,FALSE
2,3,themikemartin,Kaelon Black,RB,2.5,FALSE
2,3,themikemartin,Geno Smith,QB,17.33,FALSE
2,3,themikemartin,Travis Kelce,TE,22.1,TRUE
2,3,themikemartin,Stefon Diggs,WR,18.7,FALSE
2,3,themikemartin,Christian McCaffrey,RB,22.6,TRUE
2,3,themikemartin,Courtland Sutton,WR,3.5,FALSE
2,3,themikemartin,Deebo Samuel,WR,4.5,FALSE
2,3,themikemartin,Jordan Love,QB,15.8,TRUE
2,3,themikemartin,Jonathan Taylor,RB,31.2,TRUE
2,3,themikemartin,Garrett Wilson,WR,14.7,TRUE
2,3,themikemartin,Bryce Young,QB,27.83,TRUE
2,3,themikemartin,Jaxon Smith-Njigba,WR,38.5,TRUE
2,3,themikemartin,DET D/ST,DEF,0.5,TRUE
2,5,theNastyJK,Jonathon Brooks,RB,1.1,FALSE
2,5,theNastyJK,Brock Bowers,TE,0,FALSE
2,5,theNastyJK,Rome Odunze,WR,6.3,FALSE
2,5,theNastyJK,Malik Nabers,WR,0.1,TRUE
2,5,theNastyJK,Quinshon Judkins,RB,6.55,FALSE
2,5,theNastyJK,Luther Burden,WR,4.2,TRUE
2,5,theNastyJK,Tetairoa McMillan,WR,14.1,TRUE
2,5,theNastyJK,Tyler Shough,QB,24.88,TRUE
2,5,theNastyJK,Jadarian Price,RB,6.5,FALSE
2,5,theNastyJK,Dallas Goedert,TE,0.4,TRUE
2,5,theNastyJK,Daniel Jones,QB,13.15,FALSE
2,5,theNastyJK,Evan McPherson,K,12.8,TRUE
2,5,theNastyJK,Jameson Williams,WR,5.3,FALSE
2,5,theNastyJK,Malik Willis,QB,14.23,TRUE
2,5,theNastyJK,Jahmyr Gibbs,RB,22.8,TRUE
2,5,theNastyJK,De'Von Achane,RB,11.8,TRUE
2,5,theNastyJK,Zach Charbonnet,RB,0,FALSE
2,5,theNastyJK,LAR D/ST,DEF,7.5,TRUE
2,1,JLstorm1,Marvin Harrison,WR,0,FALSE
2,1,JLstorm1,Brian Thomas,WR,7,FALSE
2,1,JLstorm1,Cam Little,K,8.4,TRUE
2,1,JLstorm1,Carnell Tate,WR,3.7,FALSE
2,1,JLstorm1,Lamar Jackson,QB,18.05,TRUE
2,1,JLstorm1,D'Andre Swift,RB,12.15,TRUE
2,1,JLstorm1,Justin Herbert,QB,8.88,TRUE
2,1,JLstorm1,Michael Pittman,WR,0,FALSE
2,1,JLstorm1,Rico Dowdle,RB,7.15,FALSE
2,1,JLstorm1,Jaylen Waddle,WR,19.8,TRUE
2,1,JLstorm1,Ja'Marr Chase,WR,20.5,TRUE
2,1,JLstorm1,Alec Pierce,WR,2.1,FALSE
2,1,JLstorm1,Breece Hall,RB,12.7,TRUE
2,1,JLstorm1,Jordan Mason,RB,0,FALSE
2,1,JLstorm1,Tucker Kraft,TE,1.5,TRUE
2,1,JLstorm1,Jordan Addison,WR,3.1,TRUE
2,1,JLstorm1,BAL D/ST,DEF,7,TRUE
