player,team,pos,pos_rank,points,mine
Josh Oliver,MIN,TE,52,21.4,FALSE
Jeremy Ruckert,NYJ,TE,53,21.2,FALSE
Brashard Smith,KC,RB,72,21.1,FALSE
Jonnu Smith,GB,TE,54,20.9,FALSE
Will Kacmarek,MIA,TE,55,20.9,FALSE
Noah Fant,NO,TE,56,20.2,FALSE
Erick All,CIN,TE,57,20.2,FALSE
John Bates,WAS,TE,58,19.9,FALSE
Adam Trautman,DEN,TE,59,19.3,FALSE
Kirk Cousins,LV,QB,34,19.2,FALSE
Seydou Traore,MIA,TE,60,19.2,FALSE
Eli Stowers,PHI,TE,61,18.6,FALSE
Roschon Johnson,CHI,RB,73,18.3,FALSE
Ko Kieft,TB,TE,62,18.1,FALSE
Mitchell Evans,CAR,TE,63,18.1,FALSE
Charlie Woerner,ATL,TE,64,17.9,FALSE
Luke Musgrave,GB,TE,65,17.7,FALSE
Nate Adkins,DEN,TE,66,17.5,FALSE
Cole Kmet,CHI,TE,67,17.4,FALSE
Foster Moreau,HOU,TE,68,16.6,FALSE
Grant Calcaterra,PHI,TE,69,16.4,FALSE
Austin Hooper,ATL,TE,70,16.2,FALSE
Ben Sinnott,WAS,TE,71,16,FALSE
Shedeur Sanders,CLE,QB,35,15.8,FALSE
Tommy Tremble,CAR,TE,72,15.7,FALSE
Jackson Hawes,BUF,TE,73,15.6,FALSE
LeQuint Allen,JAC,RB,74,15.5,FALSE
Corey Kiner,ARI,RB,75,15.2,FALSE
Joe Milton III,DAL,QB,36,15.1,FALSE
Eli Raridon,NE,TE,74,14.7,FALSE
Devin Singletary,NYG,RB,76,14.6,FALSE
Raheim Sanders,CLE,RB,77,14.6,FALSE
Isaac Guerendo,SF,RB,78,14.5,FALSE
Isaiah Davis,NYJ,RB,79,14.3,FALSE
Demond Claiborne,MIN,RB,80,14.1,FALSE
Luke Schoonmaker,DAL,TE,75,14.1,FALSE
Marcus Mariota,WAS,QB,37,13.7,FALSE
Ty Simpson,LAR,QB,38,13.6,FALSE
Joshua Dobbs,DET,QB,39,13.4,FALSE
Audric Estime,NO,RB,81,13.4,FALSE
Kendre Miller,NO,RB,82,13.1,FALSE
Sean Tucker,TB,RB,83,13,FALSE
Seth McGowan,IND,RB,84,13,FALSE
Ameer Abdullah,JAC,RB,85,12.9,FALSE
Ja'Tavion Sanders,CAR,TE,76,12.8,FALSE
Kene Nwangwu,NYJ,RB,86,12.7,FALSE
Tanner McKee,PHI,QB,40,12.4,FALSE
Riley Leonard,IND,QB,41,12.2,FALSE
Elijah Higgins,ARI,TE,77,12.1,FALSE
Stetson Bennett,LAR,QB,42,11.8,FALSE
George Holani,SEA,RB,87,11.7,FALSE
Kaytron Allen,WAS,RB,88,11.7,FALSE
Oscar Delp,NO,TE,78,11.6,FALSE
Sam Roush,CHI,TE,79,11.3,FALSE
Jalon Daniels,TB,QB,43,11.2,FALSE
Brevyn Spann-Ford,DAL,TE,80,11.2,FALSE
Emmett Johnson,KC,RB,89,11.1,FALSE
Jeremy McNichols,WAS,RB,90,11,FALSE
Hunter Long,JAC,TE,81,10.8,FALSE
Payne Durham,TB,TE,82,10.8,FALSE
Matthew Hibner,BAL,TE,83,10.8,FALSE
Josh Cuevas,BAL,TE,84,10.8,FALSE
Zonovan Knight,ARI,RB,91,10.7,FALSE
Cole Payton,PHI,QB,44,10.6,FALSE
Thomas Fidone II,NYG,TE,85,10.6,FALSE
Jalen Milroe,SEA,QB,45,10.5,FALSE
Tanner Hudson,CIN,TE,86,10.4,FALSE
Jared Wiley,KC,TE,87,10.4,FALSE
Jonah Coleman,DEN,RB,92,10.3,FALSE
Noah Gray,KC,TE,88,10.2,FALSE
Durham Smythe,BAL,TE,89,10.1,FALSE
Ian Thomas,LV,TE,90,10.1,FALSE
DJ Giddens,IND,RB,93,10,TRUE
Chris Manhertz,NYG,TE,91,10,FALSE
Josh Whyle,GB,TE,92,9.8,FALSE
Andrew Ogletree,IND,TE,93,9.7,FALSE
Kylen Granson,TEN,TE,94,9.6,FALSE
Ray Davis,BUF,RB,94,9.1,FALSE
Max Klare,LAR,TE,95,9.1,FALSE
Elijah Arroyo,SEA,TE,96,9,FALSE
Nicholas Singleton,TEN,RB,95,8.9,FALSE
Cade Stover,HOU,TE,97,8.7,FALSE
Drew Sample,CIN,TE,98,8.1,FALSE
Rasheen Ali,BAL,RB,96,7.6,FALSE
Jake Tonges,SF,TE,99,7.6,FALSE
Kyle McCord,GB,QB,46,7.4,FALSE
Tyler Huntley,BAL,QB,47,7.2,FALSE
Tommy DeVito,NE,QB,48,7.2,FALSE
Ollie Gordon II,MIA,RB,97,7.2,FALSE
Tyrod Taylor,GB,QB,49,7.1,FALSE
Davis Mills,HOU,QB,50,7.1,FALSE
Jarrett Stidham,DEN,QB,51,6.8,FALSE
Tyson Bagent,CHI,QB,52,6.8,FALSE
Gardner Minshew,ARI,QB,53,6.7,FALSE
Mason Rudolph,PIT,QB,54,6.5,FALSE
Anthony Richardson,IND,QB,55,6.2,FALSE
Drew Lock,SEA,QB,56,6.1,FALSE
Quinn Ewers,MIA,QB,57,5.9,FALSE
Spencer Rattler,NO,QB,58,5.8,FALSE
Trey Lance,LAC,QB,59,5.7,FALSE
Mitch Trubisky,TEN,QB,60,5.6,FALSE
Kenny Pickett,CAR,QB,61,5.6,FALSE
Andy Dalton,PHI,QB,62,5,FALSE
Cade Klubnik,NYJ,QB,63,5,FALSE
Kyle Allen,BUF,QB,64,4.6,FALSE
Tre' Harris,LAC,WR,101,4.6,FALSE
John Metchie III,CAR,WR,102,4.4,FALSE
Jalen Tolbert,MIA,WR,103,4.4,FALSE
Nick Westbrook-Ikhine,IND,WR,104,4.3,FALSE
Xavier Legette,CAR,WR,105,4.3,FALSE
Darnell Mooney,NYG,WR,106,4.2,FALSE
Jack Bech,LV,WR,107,4.2,FALSE
Justin Fields,KC,QB,65,4.1,FALSE
Mac Jones,SF,QB,66,4.1,FALSE
Brandin Cooks,BUF,WR,108,4,FALSE
Travis Hunter,JAC,WR,109,4,FALSE
J.J. McCarthy,MIN,QB,67,3.8,FALSE
Marvin Mims Jr.,DEN,WR,110,3.8,FALSE
DeMario Douglas,NE,WR,111,3.8,FALSE
Malachi Fields,NYG,WR,112,3.8,FALSE
KaVontae Turpin,DAL,WR,113,3.6,FALSE
Olamide Zaccheaus,ATL,WR,114,3.5,FALSE
Pat Bryant,DEN,WR,115,3.5,FALSE
Isaiah Bond,CLE,WR,116,3.1,FALSE
Zavier Scott,MIN,RB,98,3,FALSE
Lil'Jordan Humphrey,DEN,WR,117,3,FALSE
Ryan Flournoy,DAL,WR,118,3,FALSE
Mason Tipton,NO,WR,119,3,FALSE
Trevor Etienne,CAR,RB,99,2.9,FALSE
Tutu Atwell,LAR,WR,120,2.9,FALSE
Mack Hollins,NE,WR,121,2.7,FALSE
Keon Coleman,BUF,WR,122,2.7,FALSE
Jaleel McLaughlin,DEN,RB,100,2.5,FALSE
Dylan Laube,LV,RB,101,2.5,FALSE
Jahan Dotson,ATL,WR,123,2.5,FALSE
Kalif Raymond,CHI,WR,124,2.4,FALSE
Kendrick Bourne,ARI,WR,125,2.4,FALSE
Trey Benson,ARI,RB,102,2.3,FALSE
Mo Alie-Cox,IND,TE,100,2.3,FALSE
Ben Yurosek,MIN,TE,101,2.3,FALSE
Devontez Walker,BAL,WR,126,2.3,FALSE
Joe Flacco,CIN,QB,68,2.2,FALSE
Anthony Firkser,DET,TE,102,2.2,FALSE
Tim Patrick,JAC,WR,127,2.2,FALSE
JuJu Smith-Schuster,KC,WR,128,2.1,FALSE
Jonathan Mingo,DAL,WR,129,2.1,FALSE
Dont'e Thornton Jr.,LV,WR,130,2.1,FALSE
Jameis Winston,NYG,QB,69,2,FALSE
Robbie Ouzts,SEA,RB,103,2,FALSE
Quintin Morris,JAC,TE,103,2,FALSE
Jordan Whittington,LAR,WR,131,2,FALSE
Treylon Burks,WAS,WR,132,1.9,FALSE
Calvin Austin III,NYG,WR,133,1.9,FALSE
Jake Bobo,SEA,WR,134,1.8,FALSE
Patrick Ricard,NYG,RB,104,1.7,FALSE
Israel Abanikanda,DAL,RB,105,1.7,FALSE
Will Mallory,IND,TE,104,1.7,FALSE
Tai Felton,MIN,WR,135,1.7,FALSE
Eric Saubert,SEA,TE,105,1.6,FALSE
Tanner Conner,NYG,TE,106,1.6,FALSE
Dyami Brown,WAS,WR,136,1.6,FALSE
Skyy Moore,GB,WR,137,1.6,FALSE
Zachariah Branch,ATL,WR,138,1.6,FALSE
Kevin Coleman Jr.,MIA,WR,139,1.6,FALSE
Bo Melton,GB,WR,140,1.5,FALSE
Tez Johnson,TB,WR,141,1.5,FALSE
KeAndre Lambert-Smith,LAC,WR,142,1.5,FALSE
Jimmy Horn Jr.,CAR,WR,143,1.5,FALSE
Brennan Presley,LA,WR,144,1.5,FALSE
Barion Brown,NO,WR,145,1.5,FALSE
Jaylin Lane,WAS,WR,146,1.4,FALSE
Efton Chism III,NE,WR,147,1.4,FALSE
Kaleb Johnson,GB,RB,106,1.3,FALSE
Xavier Smith,LAR,WR,148,1.3,FALSE
Malachi Corley,CLE,WR,149,1.3,FALSE
Kameron Johnson,TB,WR,150,1.3,FALSE
Konata Mumpfield,LAR,WR,151,1.3,FALSE
Hunter Luepke,DAL,RB,107,1.2,FALSE
James Mitchell,CAR,TE,107,1.2,FALSE
Lucas Krull,DEN,TE,108,1.2,FALSE
Keleki Latu,BUF,TE,109,1.2,FALSE
Dareke Young,LV,WR,152,1.2,FALSE
Ronnie Rivers,LA,RB,108,1.1,FALSE
Brittain Brown,CHI,RB,109,1.1,FALSE
Sione Vaki,DET,RB,110,1.1,FALSE
Tahj Brooks,CIN,RB,111,1.1,FALSE
David Moore,CAR,WR,153,1.1,FALSE
Simi Fehoko,ARI,WR,154,1.1,FALSE
Malik Heath,GB,WR,155,1.1,FALSE
Alec Ingold,LAC,RB,112,1,FALSE
Odell Beckham Jr.,NYG,WR,156,1,FALSE
Laquon Treadwell,IND,WR,157,1,FALSE
Devin Duvernay,ARI,WR,158,1,FALSE
Isaiah Williams,NYJ,WR,159,1,FALSE
Kyle Williams,NE,WR,160,1,FALSE
LaJohntay Wester,BAL,WR,161,1,FALSE
Elijah Sarratt,BAL,WR,162,1,FALSE
Cyrus Allen,KCC,WR,163,1,FALSE
Will Shipley,PHI,RB,113,0.9,FALSE
Julian Hill,NE,TE,110,0.9,FALSE
Tip Reiman,ARI,TE,111,0.9,FALSE
Gunner Olszewski,NYG,WR,164,0.9,FALSE
Cody White,SEA,WR,165,0.9,FALSE
Roman Wilson,PIT,WR,166,0.9,FALSE
Xavier Weaver,ARI,WR,167,0.9,FALSE
Anthony Gould,IND,WR,168,0.9,FALSE
Ryan Miller,NYG,WR,169,0.9,FALSE
Jalen Royals,KCC,WR,170,0.9,FALSE
Coleman Owen,IND,WR,171,0.9,FALSE
Skyler Bell,BUF,WR,172,0.9,FALSE
Tyler Badie,DEN,RB,114,0.8,FALSE
Irv Smith Jr.,HOU,TE,112,0.8,FALSE
Harrison Bryant,HOU,TE,113,0.8,FALSE
Feleipe Franks,CAR,TE,114,0.8,FALSE
David Martin-Robinson,TEN,TE,115,0.8,FALSE
Nick Kallerup,SEA,TE,116,0.8,FALSE
Sal Cannella,CLE,TE,117,0.8,FALSE
David Sills V,TB,WR,173,0.8,FALSE
Xavier Gipson,NYG,WR,174,0.8,FALSE
Brycen Tremayne,CAR,WR,175,0.8,FALSE
Jarquez Hunter,LA,RB,115,0.7,FALSE
Ja'Corey Brooks,WSH,WR,176,0.7,FALSE
Ke'Shawn Williams,CIN,WR,177,0.7,FALSE
Reggie Gilliam,NE,RB,116,0.6,FALSE
Adam Prentice,DEN,RB,117,0.6,FALSE
British Brooks,HOU,RB,118,0.6,FALSE
Jacob Saylors,DET,RB,119,0.6,FALSE
Tay Martin,DET,WR,178,0.6,FALSE
Savion Williams,GB,WR,179,0.6,FALSE
Brenen Thompson,LAC,WR,180,0.6,FALSE
Colbie Young,CIN,WR,181,0.6,FALSE
Travis Homer,CHI,RB,120,0.5,FALSE
Jerome Ford,WSH,RB,121,0.5,FALSE
Julius Chestnut,TEN,RB,122,0.5,FALSE
Kendall Milton,CIN,RB,123,0.5,FALSE
Terrell Jennings,NE,RB,124,0.5,FALSE
Devin Neal,NO,RB,125,0.5,FALSE
Ben Skowronek,PIT,WR,182,0.5,FALSE
Kevin Austin Jr.,FA,WR,183,0.5,FALSE
Velus Jones,SEA,RB,126,0.4,FALSE
Johnny Mundt,PHI,TE,118,0.4,FALSE
Luke Farrell,SF,TE,119,0.4,FALSE
Jack Stoll,CLE,TE,120,0.4,FALSE
John FitzPatrick,GB,TE,121,0.4,FALSE
Carter Runyon,LV,TE,122,0.4,FALSE
Derius Davis,LAC,WR,184,0.4,FALSE
Jalen Brooks,ARI,WR,185,0.4,FALSE
Nikko Remigio,KC,WR,186,0.4,FALSE
Tyrell Shavers,BUF,WR,187,0.4,FALSE
Teddy Bridgewater,DET,QB,70,0.3,FALSE
Sam Howell,DAL,QB,71,0.3,FALSE
Eric Gray,NYG,RB,127,0.3,FALSE
Malik Turner,SF,WR,188,0.3,FALSE
Chris Blair,ATL,WR,189,0.2,FALSE
Jacob Cowing,SF,WR,190,0.2,FALSE
Casey Washington,ATL,WR,191,0.2,FALSE
Riley Nowakowski,PIT,RB,128,0.1,FALSE
Tejhaun Palmer,ARI,WR,192,0.1,FALSE
Carson Beck,ARI,QB,72,0,FALSE
Joe Mixon,HOU,RB,129,0,FALSE
Nick Chubb,HOU,RB,130,0,FALSE
Jakob Johnson,HOU,RB,131,0,FALSE
Brady Russell,SEA,RB,132,0,FALSE
Amar Johnson,LAC,RB,133,0,FALSE
Stone Smartt,PHI,TE,123,0,FALSE
Justin Shorter,LV,TE,124,0,FALSE
Cameron Latu,PHI,TE,125,0,FALSE
Cam Grandy,CIN,TE,126,0,FALSE
Moliki Matavao,NO,TE,127,0,FALSE
Hayden Rucci,DET,TE,128,0,FALSE
Tylan Wallace,CLE,WR,193,0,FALSE
Elijah Moore,PHI,WR,194,0,FALSE
Trey Palmer,NO,WR,195,0,FALSE
Ricky Pearsall,SF,WR,196,0,FALSE
Jamari Thrash,CLE,WR,197,0,FALSE
Jared Wayne,HOU,WR,198,0,FALSE
Xavier Restrepo,TEN,WR,199,0,FALSE
