player,team,pos,pos_rank,points,mine
Trevor Lawrence,JAC,QB,1,125.5,FALSE
Patrick Mahomes,KC,QB,2,124.1,FALSE
Baker Mayfield,TB,QB,3,118.6,FALSE
Brock Purdy,SF,QB,4,118.1,FALSE
Matthew Stafford,LAR,QB,5,115.4,FALSE
Josh Allen,BUF,QB,6,114.9,FALSE
Jahmyr Gibbs,DET,RB,1,114.9,FALSE
Malik Willis,MIA,QB,7,113.6,FALSE
Bo Nix,DEN,QB,8,112.4,FALSE
Jared Goff,DET,QB,9,112.2,FALSE
Kyler Murray,MIN,QB,10,112.1,FALSE
Daniel Jones,IND,QB,11,109.8,FALSE
C.J. Stroud,HOU,QB,12,108.8,FALSE
AJ Dillon,CAR,RB,2,108.6,FALSE
Jordan Love,GB,QB,13,107.8,FALSE
Tyler Shough,NO,QB,14,107.8,FALSE
Lamar Jackson,BAL,QB,15,106.4,FALSE
Bijan Robinson,ATL,RB,3,105.9,FALSE
Jalen Hurts,PHI,QB,16,105.3,FALSE
Jonathan Taylor,IND,RB,4,105.1,TRUE
Bryce Young,CAR,QB,17,104.8,TRUE
Jayden Daniels,WAS,QB,18,104.1,TRUE
Sam Darnold,SEA,QB,19,102.3,FALSE
Dak Prescott,DAL,QB,20,100.2,FALSE
Jaxson Dart,NYG,QB,21,100.1,FALSE
Justin Herbert,LAC,QB,22,99.9,FALSE
Derrick Henry,BAL,RB,5,99.8,FALSE
Caleb Williams,CHI,QB,23,98.9,FALSE
Joe Burrow,CIN,QB,24,98.4,FALSE
Drake Maye,NE,QB,25,98.4,FALSE
Puka Nacua,LAR,WR,1,96.1,FALSE
Kenneth Walker III,KC,RB,6,96,FALSE
Jacoby Brissett,ARI,QB,26,93.9,FALSE
D'Andre Swift,CHI,RB,7,93.6,FALSE
Javonte Williams,DAL,RB,8,92.8,FALSE
A.J. Brown,NE,WR,2,91.6,FALSE
Ashton Jeanty,LV,RB,9,91.1,FALSE
Rashee Rice,KC,WR,3,90.7,FALSE
Christian McCaffrey,SF,RB,10,90.6,TRUE
De'Von Achane,MIA,RB,11,90.5,FALSE
Bucky Irving,TB,RB,12,90.4,FALSE
Kyren Williams,LAR,RB,13,89.7,FALSE
Jaxon Smith-Njigba,SEA,WR,4,89.7,TRUE
Travis Etienne,NO,RB,14,89.5,FALSE
Cam Skattebo,NYG,RB,15,89.4,FALSE
Chris Olave,NO,WR,5,88.9,FALSE
Josh Jacobs,GB,RB,16,88.8,FALSE
Geno Smith,NYJ,QB,27,87.6,TRUE
Breece Hall,NYJ,RB,17,86.6,FALSE
James Cook,BUF,RB,18,86.5,FALSE
Saquon Barkley,PHI,RB,19,85.8,FALSE
Cam Ward,TEN,QB,28,85.7,FALSE
Ja'Marr Chase,CIN,WR,6,85.5,FALSE
Aaron Rodgers,PIT,QB,29,84.2,FALSE
Chase Brown,CIN,RB,20,83.5,FALSE
Adam Randall,BAL,RB,21,83.3,FALSE
Quinshon Judkins,CLE,RB,22,82.5,FALSE
Jeremiyah Love,ARI,RB,23,81.6,FALSE
Tee Higgins,CIN,WR,7,81.5,FALSE
David Montgomery,HOU,RB,24,81.2,FALSE
Amon-Ra St. Brown,DET,WR,8,80.5,FALSE
Tetairoa McMillan,CAR,WR,9,78.8,FALSE
Emeka Egbuka,TB,WR,10,78.3,FALSE
Malik Nabers,NYG,WR,11,78.2,FALSE
Bhayshul Tuten,JAC,RB,25,77.9,FALSE
Jameson Williams,DET,WR,12,77.8,FALSE
Deebo Samuel,SF,WR,13,77.6,TRUE
Alec Pierce,IND,WR,14,77.1,FALSE
DeVonta Smith,PHI,WR,15,76.3,FALSE
Jadarian Price,SEA,RB,26,75.6,FALSE
George Pickens,DAL,WR,16,75.4,FALSE
J.K. Dobbins,DEN,RB,27,74.5,FALSE
Jaylen Warren,PIT,RB,28,74.3,FALSE
Drake London,ATL,WR,17,72.8,FALSE
Omarion Hampton,LAC,RB,29,71.7,FALSE
Rico Dowdle,PIT,RB,30,71.6,FALSE
Terry McLaurin,WAS,WR,18,71.6,FALSE
Luther Burden III,CHI,WR,19,71.6,FALSE
Ladd McConkey,LAC,WR,20,71.4,FALSE
Davante Adams,LAR,WR,21,70.8,FALSE
TreVeyon Henderson,NE,RB,31,70.4,FALSE
Garrett Wilson,NYJ,WR,22,70.3,FALSE
CeeDee Lamb,DAL,WR,23,70,FALSE
Nico Collins,HOU,WR,24,69.6,FALSE
Christian Watson,GB,WR,25,69.2,FALSE
Tony Pollard,TEN,RB,32,69,FALSE
Jaylen Waddle,DEN,WR,26,68.5,FALSE
Deshaun Watson,CLE,QB,30,68.1,FALSE
Zay Flowers,BAL,WR,27,67.3,FALSE
Jonathon Brooks,CAR,RB,33,67.2,FALSE
Keenan Allen,IND,WR,28,67.2,FALSE
Rome Odunze,CHI,WR,29,67.1,FALSE
Brian Thomas Jr.,JAC,WR,30,66.7,FALSE
Marvin Harrison Jr.,ARI,WR,31,66.6,FALSE
Justin Jefferson,MIN,WR,32,66.1,FALSE
Parker Washington,JAC,WR,33,66,FALSE
George Kittle,SF,TE,1,65.9,FALSE
DK Metcalf,PIT,WR,34,65.8,FALSE
DJ Moore,BUF,WR,35,65.1,FALSE
Fernando Mendoza,LV,QB,31,64.6,FALSE
Rhamondre Stevenson,NE,RB,34,64.6,FALSE
MarShawn Lloyd,GB,RB,35,64.5,TRUE
Mike Evans,SF,WR,36,64.5,FALSE
Courtland Sutton,DEN,WR,37,63.9,TRUE
Chuba Hubbard,CAR,RB,36,63.8,FALSE
Kyle Monangai,CHI,RB,37,63.4,FALSE
RJ Harvey,DEN,RB,38,63.2,FALSE
Trey McBride,ARI,TE,2,62.8,FALSE
Jordan Mason,MIN,RB,39,62.7,FALSE
Tua Tagovailoa,ATL,QB,32,61,FALSE
Jacory Croskey-Merritt,WAS,RB,40,60.6,FALSE
Kenneth Gainwell,TB,RB,41,60.4,FALSE
Quentin Johnston,LAC,WR,38,60.4,FALSE
Brock Bowers,LV,TE,3,60.2,FALSE
Jordan Addison,MIN,WR,39,59.4,FALSE
Isaiah Likely,NYG,TE,4,59.2,FALSE
Chris Godwin,TB,WR,40,58.9,FALSE
Aaron Jones,MIN,RB,42,58.8,FALSE
Michael Wilson,ARI,WR,41,58.8,FALSE
Alvin Kamara,NO,RB,43,58.2,FALSE
Colston Loveland,CHI,TE,5,58.2,FALSE
Blake Corum,LAR,RB,44,57.7,FALSE
Travis Kelce,KC,TE,6,57.6,TRUE
Rachaad White,WAS,RB,45,57.4,FALSE
Rashid Shaheed,SEA,WR,42,57.4,FALSE
Dalton Kincaid,BUF,TE,7,56.9,FALSE
Jayden Reed,GB,WR,43,56.8,FALSE
Zach Charbonnet,SEA,RB,46,56.4,FALSE
Romeo Doubs,NE,WR,44,56.4,FALSE
Jordyn Tyson,NO,WR,45,56.4,FALSE
Darren Waller,CAR,TE,8,55.4,FALSE
Calvin Ridley,TEN,WR,46,55.2,FALSE
Brenton Strange,JAC,TE,9,54.7,FALSE
Jakobi Meyers,JAC,WR,47,54.2,FALSE
De'Zhaun Stribling,SF,WR,48,54,FALSE
Xavier Worthy,KC,WR,49,53.3,TRUE
Matthew Golden,GB,WR,50,52.9,FALSE
Wan'Dale Robinson,TEN,WR,51,52.4,FALSE
Harold Fannin Jr.,CLE,TE,10,52.1,FALSE
Jerry Jeudy,CLE,WR,52,51.8,FALSE
Juwan Johnson,NO,TE,11,51.7,FALSE
Hunter Henry,NE,TE,12,51.4,FALSE
Michael Pittman,PIT,WR,53,51.4,FALSE
Tank Dell,HOU,WR,54,51.3,FALSE
Jalen Coker,CAR,WR,55,51,FALSE
Chris Rodriguez Jr.,JAC,RB,47,50.3,FALSE
Tucker Kraft,GB,TE,13,50.2,FALSE
Dallas Goedert,PHI,TE,14,49.8,FALSE
Tyler Warren,IND,TE,15,49.8,FALSE
KC Concepcion,CLE,WR,56,49.8,FALSE
Woody Marks,HOU,RB,48,49.6,FALSE
Josh Downs,IND,WR,57,49.6,FALSE
Sam LaPorta,DET,TE,16,49.5,FALSE
Stefon Diggs,WAS,WR,58,49.5,TRUE
Jahdae Walker,CHI,WR,59,49.5,FALSE
Rashod Bateman,BAL,WR,60,48.4,FALSE
Carnell Tate,TEN,WR,61,48.4,FALSE
Mike Washington Jr.,LV,RB,49,48.2,FALSE
Christian Kirk,SF,WR,62,47.8,FALSE
Ja'Kobi Lane,BAL,WR,63,47.3,FALSE
Isiah Pacheco,DET,RB,50,46.7,FALSE
Cade Otton,TB,TE,17,46.5,FALSE
Tre Tucker,LV,WR,64,46.2,FALSE
Nate Boerkircher,JAC,TE,18,46,FALSE
Makai Lemon,PHI,WR,65,46,FALSE
Kyle Pitts,ATL,TE,19,45.9,FALSE
Jauan Jennings,MIN,WR,66,45.9,FALSE
Dalton Schultz,HOU,TE,20,45.7,FALSE
Kayshon Boutte,HOU,WR,67,45.4,FALSE
Jake Ferguson,DAL,TE,21,45.3,FALSE
Denzel Boston,CLE,WR,68,45.2,FALSE
Cooper Kupp,SEA,WR,69,44.9,FALSE
Tyjae Spears,TEN,RB,51,44.6,FALSE
Jalen McMillan,TB,WR,70,44.1,FALSE
James Conner,ARI,RB,52,43.9,FALSE
Mark Andrews,BAL,TE,22,43.1,FALSE
Khalil Shakir,BUF,WR,71,42.7,FALSE
Tank Bigsby,PHI,RB,53,42.4,FALSE
Kaelon Black,SF,RB,54,42.4,TRUE
Elic Ayomanor,TEN,WR,72,42.2,FALSE
Jalen Nailor,LV,WR,73,42.1,FALSE
Braelon Allen,NYJ,RB,55,42,FALSE
Jordan James,SF,RB,56,42,FALSE
Greg Dulcich,MIA,TE,23,41.7,FALSE
Najee Harris,NYG,RB,57,40.8,FALSE
Chigoziem Okonkwo,WAS,TE,24,40.3,FALSE
AJ Barner,SEA,TE,25,40.1,FALSE
Devaughn Vele,NO,WR,74,39.9,FALSE
Terrance Ferguson,LAR,TE,26,39.8,FALSE
Kenyon Sadiq,NYJ,TE,27,39.4,FALSE
Dylan Sampson,CLE,RB,58,39.3,FALSE
Pat Freiermuth,PIT,TE,28,39.3,FALSE
Bryce Lance,NO,WR,75,39,FALSE
Marquise Brown,PHI,WR,76,38.6,FALSE
Antonio Williams,WAS,WR,77,38.5,FALSE
Tyquan Thornton,KC,WR,78,38.3,FALSE
Troy Franklin,DEN,WR,79,38.3,FALSE
Justice Hill,BAL,RB,59,38,FALSE
Malik Davis,DAL,RB,60,37.8,FALSE
T.J. Hockenson,MIN,TE,29,37.6,FALSE
Tyrone Tracy Jr.,NYG,RB,61,37.5,FALSE
Tyler Allgeier,ARI,RB,62,36.9,FALSE
Chris Bell,MIA,WR,80,36.9,FALSE
Tory Horton,SEA,WR,81,36.6,FALSE
Ty Johnson,BUF,RB,63,36.2,FALSE
Mike Gesicki,CIN,TE,30,35.8,FALSE
Omar Cooper Jr.,NYJ,WR,82,35.6,FALSE
Emanuel Wilson,SEA,RB,64,35.4,FALSE
Ashton Dulin,IND,WR,83,35.3,FALSE
Brock Wright,DET,TE,31,34.9,FALSE
Darius Slayton,NYG,WR,84,34.8,FALSE
David Njoku,LAC,TE,32,34.7,FALSE
Christopher Brooks,GB,RB,65,34.6,FALSE
Xavier Hutchinson,HOU,WR,85,34.6,FALSE
Oronde Gadsden II,LAC,TE,33,34.5,FALSE
Brian Robinson Jr.,ATL,RB,66,34.3,FALSE
Tyler Higbee,LAR,TE,34,34.3,FALSE
Daniel Bellinger,TEN,TE,35,34.3,FALSE
Colby Parkinson,LAR,TE,36,33.9,FALSE
Jaylin Noel,HOU,WR,86,33.7,FALSE
Chimere Dike,TEN,WR,87,33.7,FALSE
Mason Taylor,NYJ,TE,37,33.2,FALSE
Malik Benson,LV,WR,88,33,FALSE
Evan Engram,DEN,TE,38,32.4,FALSE
Andrei Iosivas,CIN,WR,89,32.4,FALSE
Samaje Perine,CIN,RB,67,32.1,FALSE
Isaac TeSlaa,DET,WR,90,32.1,FALSE
Germie Bernard,PIT,WR,91,31.2,FALSE
Theo Johnson,NYG,TE,39,31,FALSE
Keaton Mitchell,LAC,RB,68,30.6,FALSE
Adonai Mitchell,NYJ,WR,92,30.6,FALSE
Marlin Klein,HOU,TE,40,30.5,FALSE
Ted Hurst,TB,WR,93,30.5,FALSE
Kimani Vidal,LAC,RB,69,29.8,FALSE
Michael Penix Jr.,ATL,QB,33,29.7,FALSE
Demarcus Robinson,SF,WR,94,29.6,FALSE
Caleb Douglas,MIA,WR,95,29.5,FALSE
Ben Sims,MIA,TE,41,29.2,FALSE
Dontayvion Wicks,PHI,WR,96,29.2,FALSE
Josh Palmer,BUF,WR,97,29.1,FALSE
Dawson Knox,BUF,TE,42,28.2,FALSE
Davis Allen,LAR,TE,43,27.3,FALSE
Gunnar Helm,TEN,TE,44,26.8,FALSE
Luke McCaffrey,WAS,WR,98,26.7,FALSE
Zavion Thomas,CHI,WR,99,26,FALSE
Charlie Kolar,LAC,TE,45,25.6,FALSE
Eli Heidenreich,PIT,RB,70,25.2,FALSE
Jack Endries,CIN,TE,46,24.5,FALSE
Michael Mayer,LV,TE,47,23.6,FALSE
Darnell Washington,PIT,TE,48,23.2,FALSE
Bauer Sharp,TB,TE,49,23,FALSE
Malik Washington,MIA,WR,100,22.8,FALSE
Tanner Koziol,JAC,TE,50,22.7,FALSE
Jaylen Wright,MIA,RB,71,22.2,FALSE
Dallen Bentley,DEN,TE,51,21.6,FALSE
