player,team,pos,points,value,value_raw,tier,par
Carnell Tate,TEN,WR,137.4,1,1,NA,0
Xavier Worthy,KC,WR,137.3,1,1,NA,0
Jakobi Meyers,JAC,WR,135.4,1,1,NA,0
Jordan Addison,MIN,WR,135.4,1,1,NA,0
Harold Fannin Jr.,CLE,TE,135.3,1,1,3,0
Romeo Doubs,NE,WR,134.8,1,1,NA,0
Chris Godwin,TB,WR,133.5,1,1,NA,0
Dallas Goedert,PHI,TE,133,1,1,3,0
Jayden Reed,GB,WR,132.6,1,1,NA,0
MarShawn Lloyd,GB,RB,132.3,1,1,NA,0
Michael Pittman,PIT,WR,131.7,1,1,NA,0
Drew Lock,SEA,QB,131.4,1,1,NA,0
Mark Andrews,BAL,TE,130.8,1,1,3,0
Hunter Henry,NE,TE,130.4,1,1,3,0
Jordan Mason,MIN,RB,128.9,1,1,NA,0
Quentin Johnston,LAC,WR,128.1,1,1,NA,0
KC Concepcion,CLE,WR,127.7,1,1,NA,0
Juwan Johnson,NO,TE,126.6,1,1,3,0
Josh Downs,IND,WR,125.4,1,1,NA,0
Khalil Shakir,BUF,WR,123.9,1,1,NA,0
Denzel Boston,CLE,WR,123.9,1,1,NA,0
Kenneth Gainwell,TB,RB,123.6,1,1,NA,0
Rachaad White,WAS,RB,123.4,1,1,NA,0
Marvin Harrison Jr.,ARI,WR,122.3,1,1,NA,0
Rashid Shaheed,SEA,WR,121.2,1,1,NA,0
Woody Marks,HOU,RB,119.1,1,1,NA,0
Brenton Strange,JAC,TE,118,1,1,4,0
Kyle Pitts,ATL,TE,117.1,1,1,NA,0
Wan'Dale Robinson,TEN,WR,115.8,1,1,NA,0
Jonathon Brooks,CAR,RB,115.6,1,1,NA,0
Tre Tucker,LV,WR,115.6,1,1,NA,0
Rashod Bateman,BAL,WR,114.4,1,1,NA,0
Josh Jacobs,GB,RB,111.6,1,1,NA,0
Tyjae Spears,TEN,RB,111.3,1,1,NA,0
Fernando Mendoza,LV,QB,109.5,1,1,NA,0
Dalton Schultz,HOU,TE,109.2,1,1,NA,0
Caleb Douglas,MIA,WR,105.2,1,1,NA,0
Keenan Allen,IND,WR,105.1,1,1,NA,0
Kirk Cousins,LV,QB,105,1,1,NA,0
Tyler Allgeier,ARI,RB,105,1,1,NA,0
Calvin Ridley,TEN,WR,105,1,1,NA,0
Alvin Kamara,NO,RB,104,1,1,NA,0
Makai Lemon,PHI,WR,103.7,1,1,NA,0
Dontayvion Wicks,PHI,WR,103.3,1,1,NA,0
Devaughn Vele,NO,WR,102.9,1,1,NA,0
Jake Ferguson,DAL,TE,102.7,1,1,NA,0
Adonai Mitchell,NYJ,WR,100.7,1,1,NA,0
Pat Freiermuth,PIT,TE,99.5,1,1,NA,0
Ryan Flournoy,DAL,WR,97.3,1,1,NA,0
Malik Washington,MIA,WR,97,1,1,NA,0
Jalen McMillan,TB,WR,96.7,1,1,NA,0
Brian Robinson Jr.,ATL,RB,96.5,1,1,NA,0
AJ Barner,SEA,TE,96,1,1,NA,0
T.J. Hockenson,MIN,TE,95.6,1,1,NA,0
Zach Charbonnet,SEA,RB,93.3,1,1,NA,0
Braelon Allen,NYJ,RB,93.2,1,1,NA,0
Cade Otton,TB,TE,92.9,1,1,NA,0
Terrance Ferguson,LAR,TE,92.9,1,1,NA,0
Chris Rodriguez Jr.,JAC,RB,92.6,1,1,NA,0
Jauan Jennings,MIN,WR,91.9,1,1,NA,0
Oronde Gadsden II,LAC,TE,91.5,1,1,NA,0
Mike Gesicki,CIN,TE,91.4,1,1,NA,0
Kaelon Black,SF,RB,90.5,1,1,NA,0
Greg Dulcich,MIA,TE,90.5,1,1,NA,0
Kayshon Boutte,HOU,WR,89.9,1,1,NA,0
Mack Hollins,NE,WR,88.7,1,1,NA,0
Adam Randall,BAL,RB,88.1,1,1,NA,0
Cooper Kupp,SEA,WR,88.1,1,1,NA,0
Jerry Jeudy,CLE,WR,88,1,1,NA,0
Justice Hill,BAL,RB,87.2,1,1,NA,0
Malachi Fields,NYG,WR,86.3,1,1,NA,0
Jalen Nailor,LV,WR,85.4,1,1,NA,0
Kenyon Sadiq,NYJ,TE,85.1,1,1,NA,0
Chigoziem Okonkwo,WAS,TE,84.9,1,1,NA,0
Demario Douglas,NE,WR,84.1,1,1,NA,0
Tre' Harris,LAC,WR,83.8,1,1,NA,0
Demarcus Robinson,SF,WR,83.5,1,1,NA,0
Antonio Williams,WAS,WR,82.7,1,1,NA,0
Samaje Perine,CIN,RB,82.4,1,1,NA,0
Darren Waller,CAR,TE,82.1,1,1,NA,0
Kalif Raymond,CHI,WR,81.6,1,1,NA,0
Kendrick Bourne,ARI,WR,80.6,1,1,NA,0
Isaac TeSlaa,DET,WR,80.6,1,1,NA,0
Xavier Hutchinson,HOU,WR,79.8,1,1,NA,0
Jordyn Tyson,NO,WR,78.6,1,1,NA,0
Pat Bryant,DEN,WR,78.5,1,1,NA,0
Evan Engram,DEN,TE,78.2,1,1,NA,0
Emmett Johnson,KC,RB,76.9,1,1,NA,0
Jahan Dotson,ATL,WR,75.2,1,1,NA,0
